units,series_id,name,dataset_name
bill sq ft,AEO.2014.LOWRESOURCE.KEI_FLR_CMM_FSC_NA_NA_NA_BLNSQFT.A,"Commercial : Floorspace: Food Service, Low resource, AEO2014",Annual Energy Outlook 2014
bill ton miles,AEO.2014.HCCSTOM.KEI_TRV_TRN_NA_DMT_NA_NA_BLNTNMLS.A,"Transportation : Travel Indicators: Domestic Shipping, Coal retirements, AEO2014",Annual Energy Outlook 2014
bill vehicle miles,AEO.2014.HIGHVMT.KEI_TRV_TRN_NA_CML_NA_NA_BLNVEHMLS.A,"Transportation : Travel Indicators: Commercial Light Trucks, High VMT, AEO2014",Annual Energy Outlook 2014
BkWh,AEO.2016.CPPREPBASIC.GEN_NA_ENUS_NA_NA_NA_SERCCNT_BLNKWH.A,"Renewable Energy : End-Use Sector : Electricity Generation : Total, SERC Reliability Corporation / Central, CPP Report, AEO2016",Annual Energy Outlook 2016
Btu/kwh,AEO.2014.LOWRESOURCE.CNF_NA_NA_NA_ELC_NA_NA_BTUPKWH.A,"Conversion Factors : Electricity, Low resource, AEO2014",Annual Energy Outlook 2014
Btu/kWh,AEO.2015.LOWMACRO.CNF_NA_NA_NA_ELC_NA_NA_BTUPKWH.A,"Conversion Factors : Electricity, Low growth, AEO2015",Annual Energy Outlook 2015
Btu/lb,COAL.SHIPMENT_HEAT.4604670-1723-TOT.Q,Coal shipment heat content : Hobet Mine (4604670) to J R Whiting(1723) : All : quarterly,Coal
Btu Out/Btu In,AEO.2014.FROZTECH.EFF_STKE_CMM_REFR_ELC_NA_NA_BTUOTPBTUIN.A,"Commercial : Stock Average Efficiency : Refrigeration: Electricity, 2013 technology, AEO2014",Annual Energy Outlook 2014
Btu per Cubic Foot,TOTAL.NGTXKUS.A,"Natural Gas Consumption, End-Use Sectors Heat Content, Annual",Total Energy
BTU per Cubic Foot,NG.NGA_EPG0_VGTH_SCO_BTUCF.M,"Colorado Heat Content of Natural Gas Deliveries to Consumers, Monthly",Natural Gas
Btu per Kilowatthour,TOTAL.NGETKUS.A,"Electricity Net Generation, Natural Gas Plants Heat Rate, Annual",Total Energy
CDD,AEO.2020.LORENCST.KEI_NA_COMM_NA_NA_NA_ESC_CDD.A,"Commercial : Cooling Degree Days : East South Central, Low renewable cost, AEO2020",Annual Energy Outlook 2020
cents per gallon,STEO.MGRARP3.A,"Gasoline Regular Grade Retail Price Incl Taxes, PADD 3 (Gulf Coast), Annual",Short-Term Energy Outlook
cents per kilowatt hour,STEO.ESRCU_HAK.A,"Retail Price of Electricity in Residential Sector, Alaska and Hawaii, Annual",Short-Term Energy Outlook
cents per kilowatthour,ELEC.PRICE.NEW-IND.A,Average retail price of electricity : New England (total) : industrial : annual,Electricity
"Cents per Kilowatthour,  Including Taxes",TOTAL.ESOTUUS.M,"Average Retail Price of Electricity, Other, Monthly",Total Energy
COP,AEO.2017.HIGHMACRO.EFI_STK_RES_SPHR_GEHP_NA_NA_COP.A,"Residential Equipment : Stock Average Efficiency : Main Space Heaters : Geothermal Heat Pumps, High growth, AEO2017",Annual Energy Outlook 2017
Cost,NG.NA1140_SIL_9.A,"Illinois Imputed Wellhead Value of Marketed Production, Annual",Natural Gas
Count,NG.NGA_EPG0_SA3_SCA_COUNT.A,"California Natural Gas Number of Underground Storage Acquifers, Annual",Natural Gas
cu ft/min/Btu,AEO.2015.HIGHRESOURCE.EFF_STKE_COMM_VNTC_ELC_NA_NA_CUFTPMINPBTU.A,"Commercial : Stock Average Efficiency : Ventilation : Electricity, High resource, AEO2015",Annual Energy Outlook 2015
cu ft/minute/Btu,AEO.2018.AEO2017NO.EFF_STKE_COMM_VNTC_ELC_NA_NA_CUFTPMINPBTU.A,"Commercial : Stock Average Efficiency : Ventilation : Electricity, AEO2017, no CPP, AEO2018",Annual Energy Outlook 2018
Days,PET.M_EPC0_VSI_NUS_DAYS.M,"U.S. SPR Stocks as Days of Supply of Total Petroleum Net Imports, Monthly",Petroleum
Degree,PET.MCRAP3B2.A,"Texas Gulf Coast Refinery District API Gravity (Weighted Average) of Crude Oil Input to Refineries, Annual",Petroleum
dollars,STEO.NYWFUTR.M,"NYMEX futures price, Monthly",
Dollars,SEDS.TETPV.WI.A,"Total energy expenditures per capita, Wisconsin",State Energy Data System (SEDS)
dollars per barrel,STEO.RAIMUUS.Q,"Imported  Crude Oil Price, Quarterly",Short-Term Energy Outlook
Dollars per Barrel,PET.I000000408.M,"U.S. Landed Costs of Crude with API Gravity 35.1 to 40.0 degrees, Monthly",Petroleum
dollars per barrels,ELEC.COST.PEL-OR-98.A,Average cost of fossil fuels for electricity generation : petroleum liquids : Oregon : electric power (total) : annual,Electricity
Dollars per Foot,PET.E_ERTW0_XWPR_NUS_DF.A,"U.S. Real Cost per Foot of Crude Oil, Natural Gas, and Dry Wells Drilled, Annual",Petroleum
dollars per gallon,STEO.MGRARUS_$.M,"Gasoline retail price incl taxes, U.S. average, Monthly",
Dollars per Gallon,PET.EMA_EPMRX_PTC_R50_DPG.A,"West Coast (PADD 5) Oxygenated Gasoline Regular Through Company Outlets Price by All Sellers, Annual",Petroleum
Dollars per Gallon Excluding Taxes,TOTAL.KSTCUUS.A,"Average Refiner Price of Kerosene to End Users, Annual",Total Energy
Dollars per Gallon Including Taxes,TOTAL.RLUCUUS.A,"Leaded Regular Gasoline, U.S. City Average Retail Price, Annual",Total Energy
dollars per mcf,ELEC.COST.NG-NJ-99.M,Average cost of fossil fuels for electricity generation : natural gas : New Jersey : all sectors : monthly,Electricity
dollars per megawatthour,STEO.ELWHU_NW.M,"Wholesale Electricity Price, Northwest index, Mid-Columbia hub, Monthly",Short-Term Energy Outlook
dollars per million Btu,ELEC.COST_BTU.NG-UT-1.Q,Average cost of fossil fuels for electricity generation (per Btu) : natural gas : Utah : electric utility : quarterly,Electricity
Dollars per million Btu,SEDS.CLOCD.NV.A,"Coal price in the industrial sector other than coke plants, Nevada",State Energy Data System (SEDS)
Dollars per Million Btu,NG.RNGWHHD.W,"Henry Hub Natural Gas Spot Price, Weekly",Natural Gas
"Dollars per Million Btu, Including Taxes",TOTAL.PCERDUS.M,"Average Cost of Petroleum Coke Receipts at Electric Generating Plants, Monthly",Total Energy
Dollars per Pound Uranium Oxide,TOTAL.URDPDUS.A,"Average Price of Domestic Purchases, Annual",Total Energy
dollars per thousand cubic feet,STEO.NGICU_WSC.Q,"Retail Price of Natural Gas in Industrial Sector, W. S. Central, Quarterly",Short-Term Energy Outlook
Dollars per Thousand Cubic Feet,NG.N3050NV3.A,"Natural Gas Citygate Price in Nevada, Annual",Natural Gas
dollars per tons,ELEC.COST.LIG-MTN-1.M,Average cost of fossil fuels for electricity generation : lignite coal : Mountain (total) : electric utility : monthly,Electricity
EER,AEO.2016.HIGHINNOVATE.EFI_STK_RES_SPC_RAC_NA_NA_EER.A,"Residential Equipment : Stock Average Efficiency : Space Cooling : Room Air Conditioners, High incentive, AEO2016",Annual Energy Outlook 2016
EF,AEO.2015.HIGHRESOURCE.EFI_STK_RES_WHT_ELE_NA_NA_EF.A,"Residential Equipment : Stock Average Efficiency : Water Heaters : Electric, High resource, AEO2015",Annual Energy Outlook 2015
Feet per Well,PET.E_ERTWD_XWDD_NUS_FW.A,"U.S. Average Depth of Dry Holes Developmental Wells Drilled, Annual",Petroleum
frac,AEO.2014.HIGHMACRO.MKS_ADVTP_AIRT_LAFC_NA_NA_USA_FRAC.A,"Air Travel : Advanced Technology Penetration: Laminar Flow Control, High growth, AEO2014",Annual Energy Outlook 2014
fraction,AEO.2018.ANWR_RPLR.MKS_TP_AIRT_ADAR_NA_NA_USA_FRAC.A,"Air Travel : Advanced Technology Penetration : Advanced Aerodynamics, Low ANWR, AEO2018",Annual Energy Outlook 2018
Gallons per Vehicle,TOTAL.MVFCRUS.A,"All Motor Vehicles Fuel Consumption, Annual",Total Energy
gasoline equiv mpg,AEO.2015.HIGHPRICE.EFI_NA_FGHT_RADN_TOT_NA_NA_GSLEQMPG.A,"Freight : New Trucks : Heavy : Average, High price, AEO2015",Annual Energy Outlook 2015
gasoline equiv MPG,AEO.2014.NOGHGCONCERN.EFI_NA_FGHT_RAD_PROP_NA_NA_GSLEQMPG.A,"Freight : Existing Trucks: Fuel Efficiency: Heavy: Propane, No GHG concern, AEO2014",Annual Energy Outlook 2014
GCOP,AEO.2014.FROZTECH.EFF_STKE_RES_SPC_NHU_NA_NA_GCOP.A,"Residential Equipment : Stock Average Efficiency : Space Cooling: Natural Gas Heat Pumps, 2013 technology, AEO2014",Annual Energy Outlook 2014
gigawatts,IEO.2019.REFERENCE.PGCAP_SL_OAA_GW.A,"Installed solar generating capacity : OECD : OECD Asia, Reference, IEO2019",International Energy Outlook
GW,AEO.2020.LOWMACRO.CAP_NA_ELEP_NA_NUC_NA_PJMD_GW.A,"Electricity Capacity : PJM / Dominion : Nuclear, Low growth, AEO2020",Annual Energy Outlook 2020
HDD,AEO.2016.PHASEII.KEI_NA_COMM_NA_NA_NA_USA_HDD.A,"Commercial : Heating Degree Days : United States, Phase 2, AEO2016",Annual Energy Outlook 2016
hours,COAL.MINE.LABOR_HOURS.1518937-BIT-SUR.A,"Coal mine labor hours : Freedom Fuels, Llc (1518937) : bituminous : surface : annual",Coal
HP,AEO.2019.REF2019.ATT_HP_CNV_NLT_SCUV_NA_NA_HP.A,"New Vehicle Attributes : Horsepower : Conventional Light Trucks : Small Crossover, Reference, AEO2019",Annual Energy Outlook 2019
HSPF,AEO.2014.HCCST14.EFF_STKE_RES_MSHR_EHP_NA_NA_HSPF.A,"Residential Equipment : Stock Average Efficiency: Main Space Heaters: Electric Heat Pumps, High coal cost, AEO2014",Annual Energy Outlook 2014
"Index, 1982=1.00",STEO.WPCPIUS.M,"Producer Price Index: All Commodities, Monthly",Short-Term Energy Outlook
Index 1982-1984 = 100,TOTAL.CPUCIUS.A,"Consumer Price Index (Urban), Annual",Total Energy
"Index, 1982-1984=1.00",STEO.CICPIUS.A,"Consumer Price Index (all urban consumers), Annual",Short-Term Energy Outlook
"Index, 1982-1984=100",STEO.ACTKFUS.Q,"Airline Ticket Price Index, Quarterly",Short-Term Energy Outlook
"Index, 2012 = 100",STEO.GDPDIUS.A,"GDP Implicit Price Deflator, Annual",Short-Term Energy Outlook
"Index, 2012=100",STEO.IPMFG_NEC.A,"Industrial Output, Manufacturing, New England, Annual",Short-Term Energy Outlook
"Index, 2012=100 (seasonally adjusted)",STEO.ZO311IUS.M,"Food and Kindred Products Production Index, Monthly",Short-Term Energy Outlook
"Index, 2015 Q1 = 100",STEO.RGDPQ_NONOECD.A,"Non-OECD Real Gross Domestic Product, Annual",Short-Term Energy Outlook
"Index, January 2010 = 100",STEO.FOREX_WORLD.A,"Real U.S. Dollar Exchange Rate, Annual",Short-Term Energy Outlook
Kilograms of CO2 per million Btu,EMISS.CO2-C-MGICB-FL.A,"Coefficient for industrial carbon dioxide emissions, motor gasoline, Florida",CO2 Emissions
kilowatthours,STEO.EXRCH_PAC.Q,"Average Residential Electricity Usage Per Customer, Pacific Contiguous, Quarterly",Short-Term Energy Outlook
Kilowatthours,SEDS.ESTPP.MO.A,"Electricity total consumption (i.e., retail sales) per capita, Missouri",State Energy Data System (SEDS)
kWh,AEO.2018.LRNUC_PLUS20.EFI_STK_RESD_OTAR_FRZ_NA_NA_KWH.A,"Residential Equipment : Stock Average Efficiency : Other Appliances : Freezers, Low resource, plus 20%, AEO2018",Annual Energy Outlook 2018
kwh/year,AEO.2014.LOWRESOURCE.EFF_STKE_RES_OTAR_FRZ_NA_NA_KWH.A,"Residential Equipment : Stock Average Efficiency : Other Appliances : Freezers, Low resource, AEO2014",Annual Energy Outlook 2014
lb,AEO.2018.ANWR_RPHR.ATT_WGT_CNV_NLC_TOT_NA_NA_LBS.A,"New Vehicle Attributes : Weight : Conventional Cars : Average, High ANWR, AEO2018",Annual Energy Outlook 2018
lumens/watt,AEO.2015.REF2015.EFF_STKE_COMM_LGHTNG_ELC_NA_NA_LMNPWATT.A,"Commercial : Stock Average Efficiency : Lighting Efficacy : Electricity, Reference, AEO2015",Annual Energy Outlook 2015
MBtu/$ GDP,AEO.2015.LOWMACRO.INY_NA_NA_NA_TEN_NA_NA_THBTUPDLRGDP.A,"Macroeconomic Indicators : Energy Intensity : Total Energy, Low growth, AEO2015",Annual Energy Outlook 2015
MBtu/2009 $,AEO.2015.HIGHRESOURCE.INY_NA_IDAL_BCH_FSK_LPG_NA_THBTUPY05DLR.A,"Bulk Chemical : Energy Use per Unit Output : Feedstock : Liquefied Petroleum Gases, High resource, AEO2015",Annual Energy Outlook 2015
MBtu/b,AEO.2015.HIGHPRICE.INY_NA_IDAL_PRI_NG_NA_NA_THBTUPBRL.A,"Refining Industry : Refinery Only Energy : Use per Unit of Refinery Input : Natural Gas, High price, AEO2015",Annual Energy Outlook 2015
MBtu/cu ft,AEO.2015.HIGHRESOURCE.CNF_NA_EXP_NA_NG_NA_NA_BTUPCUFT.A,"Conversion Factors : Natural Gas : Exports, High resource, AEO2015",Annual Energy Outlook 2015
MBtu/sq ft,AEO.2015.AEO2014FULL.INY_HHD_RES_DELE_NA_NA_USA_THBTUPSQFT.A,"Residential : Energy Intensity per Square Foot : Delivered Energy Use, AEO2014 Reference, AEO2015",Annual Energy Outlook 2015
mcf,ELEC.PLANT.CONS_TOT.3291-NG-ALL.Q,Fuel consumption quantity : Parr GT (3291) : natural gas : all primemovers : quarterly,Electricity
megawatthours,ELEC.PLANT.GEN.58657-WND-WT.M,"Net generation : Odell Wind Farm (58657) : wind : wind turbine, onshore : monthly",Electricity
megawatts,STEO.WWCHCAP_US.Q,"Comm. and Indus. Sectors Wood Biomass Net Summer Capacity, Quarterly",Short-Term Energy Outlook
Megawatts,NUC_STATUS.CAP.6036-1.D,"Nuclear generating capacity for generator 1 at Catawba, daily",U.S. Nuclear Outages
Metric Tons Carbon Dioxide,TOTAL.CDTPRUS.A,"Total Energy CO2 Emissions per Capita, Annual",Total Energy
Metric Tons Carbon Dioxide per Million Chained (2012) Dollars,TOTAL.CDEGRUS.A,"Total Energy CO2 Emissions per Real Dollar of GDP, Annual",Total Energy
metric tons CO2,EMISS.CO2-V-DFACB-NY.A,"Transportation carbon dioxide emissions, distillate fuel, New York",CO2 Emissions
(Metric tons per billion Btu),IEO.2019.REFERENCE.CO2INT_EUR_TONNEPBBTU.A,"Carbon dioxide intensity of energy use : OECD Europe, Reference, IEO2019",International Energy Outlook
miles,AEO.2017.HR_NO_CPP.VHR_LDTY_MINI_NA_DSLELE_NA_NA_MLS.A,"New Light-Duty Vehicle Range : Diesel-Electric Hybrid : Mini-compact Cars, High resource, no CPP, AEO2017",Annual Energy Outlook 2017
miles/gallon,AEO.2014.HIGHMACRO.EFI_NLDV_2SEA_NA_GSLPLG40_NA_NA_MLSPGLN.A,"New Light-Duty Vehicle : Plug-in 40 Gasoline Hybrid: Two Seater Cars, High growth, AEO2014",Annual Energy Outlook 2014
Miles per Gallon,TOTAL.MVFRRUS.A,"All Motor Vehicles Fuel Economy, Annual",Total Energy
Miles per Vehicle,TOTAL.PCMIRUS.A,"Light-Duty Vehicles, Short Wheelbase Mileage, Annual",Total Energy
mill,AEO.2014.HIGHTECH.DMG_LIC_TRN_NA_NA_NA_NA_MILL.A,"Light-Duty Vehicle Miles Traveled : VMT Equation Components : Driving Population, High technology, AEO2014",Annual Energy Outlook 2014
mill 2012 $,AEO.2014.EXTENDED.KEI_FPW_ELEP_GDSE_SAL_NA_USA_MILLY12DLR.A,"Electricity Trade : Gross Domestic Sales: Firm Power, Extended policies, AEO2014",Annual Energy Outlook 2014
mill bbl/day,AEO.2014.BESTTECH.SUP_PRD_INTA_NA_PET_CO_WRLD_MILLBRLPDY.A,"International Liquids : Production : Selected : Petroleum : Crude Oil : Tight Oil, Best available technology, AEO2014",Annual Energy Outlook 2014
mill b/d oil eq,AEO.2014.RLNGHIGH20.CNSM_NA_TRN_NA_USE_NA_NA_MILLBRLPDYOEQ.A,"Transportation : Energy Use by Mode: Total, High rail LNG, AEO2014",Annual Energy Outlook 2014
mill Btu/bbl,AEO.2014.LCCST14.CNF_NA_NA_NA_BDL_BDL_NA_MILLBTUPBRL.A,"Conversion Factors : Liquids: Biodiesel, Low coal cost, AEO2014",Annual Energy Outlook 2014
mill Btu/household,AEO.2014.FLAT.INY_HHD_RES_TEN_NA_NA_USA_MILLBTUPHOSD.A,"Residential : Household Energy Intensity: Total Energy Use, Low electricity demand, AEO2014",Annual Energy Outlook 2014
mill Btu/ton,AEO.2014.LCR_2014.CNF_NA_NA_NA_PRD_NA_EOM_MILLBTUPTON.A,"Conversion Factors : Coal: Production: East of the Mississippi, Low cost renewable, AEO2014",Annual Energy Outlook 2014
million 2013 $,AEO.2015.LOWPRICE.KEI_ECN_ELEP_GDSE_SAL_NA_USA_MILLY13DLR.A,"Electricity Trade : Gross Domestic Sales : Economy, Low price, AEO2015",Annual Energy Outlook 2015
million 2015 $,AEO.2016.REF_ALLOW_GEN.KEI_TOT_ELEP_GDSE_SAL_NA_USA_MILLY13DLR.A,"Electricity Trade : Gross Domestic Sales : Total, CPP generators, AEO2016",Annual Energy Outlook 2016
million 2016 $,AEO.2017.LOWMACRO.KEI_FPW_ELEP_GDSE_SAL_NA_USA_MILLY13DLR.A,"Electricity Trade : Gross Domestic Sales : Firm Power, Low growth, AEO2017",Annual Energy Outlook 2017
million 2017 $,AEO.2018.CO2FEE25.KEI_ECN_ELEP_GDSE_SAL_NA_USA_MILLY13DLR.A,"Electricity Trade : Gross Domestic Sales : Economy, $25 carbon fee, AEO2018",Annual Energy Outlook 2018
million 2018 $,AEO.2019.LOWMACRO.KEI_ECN_ELEP_GDSE_SAL_NA_USA_MILLY13DLR.A,"Electricity Trade : Gross Domestic Sales : Economy, Low growth, AEO2019",Annual Energy Outlook 2019
million 2019 $,AEO.2020.CARBONFEE35.KEI_TOT_ELEP_GDSE_SAL_NA_USA_MILLY13DLR.A,"Electricity Trade : Gross Domestic Sales : Total, $35 carbon fee, AEO2020",
million barrels,STEO.PASC_US.Q,"U.S. End-of-period Commercial Crude Oil and Other Liquids Inventory, Quarterly",
Million Barrels,PET.RCRR04RTX03_1.A,"Texas - RRC District 3 Onshore Crude Oil Reserves Revision Decreases, Annual",Petroleum
"million barrels, end-of-period",STEO.C3PSPP3.Q,"Propane PADD 3 (Gulf Coast) Inventory, Quarterly",Short-Term Energy Outlook
million barrels per day,STEO.PCTCPUS.Q,"Petroleum Coke Product Supplied, Quarterly",Short-Term Energy Outlook
million barres per day,STEO.COPC_GB.Q,"Gabon Crude Oil Production Capacity, Quarterly",
million barrles per day,STEO.COPR_GB.A,"Crude Oil Production, Gabon, Annual",Short-Term Energy Outlook
million b/d,IEO.2017.REFERENCE.CNSM_LIQP_NNN_MBPD.A,"Liquids consumption : Non-OECD : Total Non-OECD, Reference, IEO2017",International Energy Outlook
million b/d oil eq,AEO.2015.LOWMACRO.CNSM_NA_TRN_RLP_USE_NA_NA_MILLBPDYOEQ.A,"Transportation : Energy Use by Mode : Rail, Passenger, Low growth, AEO2015",Annual Energy Outlook 2015
Million Btu,SEDS.NGTPB.CA.A,"Natural gas total consumption per capita, California",State Energy Data System (SEDS)
Million Btu per barrel,SEDS.COPRK.TN.A,"Factor for converting crude oil production from physical units to Btu, Tennessee",State Energy Data System (SEDS)
Million Btu per Barrel,TOTAL.COIMKUS.A,"Crude Oil Imports Heat Content, Annual",Total Energy
million Btu per person,INTL.47-33-EURA-MBTUPP.A,"Energy consumption per capita, Eurasia, Annual",International Energy Data
Million Btu per short ton,SEDS.CLOCK.LA.A,"Factor for converting coal consumed by industrial users other than coke plants from physical units to Btu, Louisiana",State Energy Data System (SEDS)
Million Btu per Short Ton,TOTAL.CCIEKUS.A,"Coal Coke Imports and Exports Heat Content, Annual",Total Energy
Million chained (2012) dollars,SEDS.GDPRX.NY.A,"Real gross domestic product, New York",State Energy Data System (SEDS)
Million cubic feet,SEDS.NGCCP.PA.A,"Natural gas consumed by (delivered to) the commercial sector, Pennsylvania",State Energy Data System (SEDS)
Million Cubic Feet,NG.N9012MO2.A,"Missouri Natural Gas Gross Withdrawals from Oil Wells, Annual",Natural Gas
Million Cubic Feet per Day,NG.NGM_EPG0_FGW_SIN_MMCFD.M,"Indiana Natural Gas Gross Withdrawals, Monthly",Natural Gas
million dollars,ELEC.REV.PCN-OTH.A,Revenue from retail sales of electricity : Pacific Noncontiguous (total) : other : annual,Electricity
Million dollars,SEDS.GDPRV.KS.A,"Current-dollar gross domestic product, Kansas",State Energy Data System (SEDS)
Million Dollars,TOTAL.TENIVUS.M,"Energy Balance, Monthly",Total Energy
Million Gallons,PET.M_EPOOBD_8BDPC_SNH_MMGL.M,"New Hampshire Biodiesel Production Capacity, Monthly",
million kilowatthours,ELEC.SALES.OR-TRA.M,Retail sales of electricity : Oregon : transportation : monthly,Electricity
Million kilowatthours,SEDS.NUETP.WI.A,"Nuclear electricity total net generation, Wisconsin",State Energy Data System (SEDS)
Million Kilowatthours,TOTAL.ELNIPUS.A,"Electricity Net Imports, Annual",Total Energy
million kilowatthours per day,STEO.EXCCP_MTN.M,"Retail Sales of Electricity in Commercial Sector, Mountain, Monthly",
million kilowatts,INTL.29-7-DEUW-MK.A,"Renewable electricity installed capacity, Germany, West, Annual",International Energy Data
Million Kilowatts,TOTAL.NUGBPUS.M,"Nuclear Generating Units, Net Summer Capacity, End of Period, Monthly",Total Energy
million kWh,AEO.2016.REF_TRADE.GEN_NA_COMM_CHP_TOT_NA_NA_MILLKWH.A,"Residential : Combined Heat and Power : Net Generation : Total, CPP trading, AEO2016",Annual Energy Outlook 2016
million metric tonnes carbon dioxide,INTL.5-8-ECU-MMTCD.A,"Petroleum and other liquids CO2 emissions, Ecuador, Annual",International Energy Data
million metric tons,STEO.PATCCO2.M,"Carbon Dioxide Emissions from Petroleum and Other Liquid Fuels, Monthly",Short-Term Energy Outlook
million metric tons CO2,EMISS.CO2-TOTV-TC-CO-TN.A,"Transportation carbon dioxide emissions, coal, Tennessee",CO2 Emissions
Million Metric Tons of Carbon Dioxide,TOTAL.MMTCEUS.M,"Motor Gasoline, Excluding Ethanol, CO2 Emissions, Monthly",Total Energy
million metric tons of oil equivalent,INTL.81-1-BWA-MTOE.A,"Biodiesel production, Botswana, Annual",International Energy Data
million miles/day,STEO.MVVMPUS.A,"Vehicle Miles Traveled, Annual",Short-Term Energy Outlook
million MMBtu,ELEC.CONS_UTO_BTU.NG-OK-5.A,Consumption for useful thermal output (Btu) : natural gas : Oklahoma : commercial cogen : annual,Electricity
Million Nominal Dollars,TOTAL.TETCVUS.A,"Energy Expenditures, Annual",Total Energy
Million people,TOTAL.TPOPPWO.A,"Total Resident Population, World, Annual",Total Energy
Million Pounds,PET.8_NA_8FS0_R40_B.A,"Rocky Mountain (PADD 4) Purchased Steam Consumed at Refineries, Annual",Petroleum
Million Pounds Uranium Oxide,TOTAL.UREXPUS.A,"Export Sales, Annual",Total Energy
millions,AEO.2015.LOWPRICE.EQNR_STK_RES_WHT_PROP_NA_NA_MILL.A,"Residential Equipment : Equipment Stock : Water Heaters : Propane, Low price, AEO2015",Annual Energy Outlook 2015
millions barrels,INTL.5-5-NLD-MBBL.A,"Petroleum and other liquids stocks, Netherlands, Annual",International Energy Data
million short tons,INTL.7-6-GRL-MST.A,"Coal reserves, Greenland, Annual",International Energy Data
"million short tons, end-of-period",STEO.CLSDPUS.Q,"Coal Primary Inventories, Quarterly",Short-Term Energy Outlook
million short tons per day,STEO.RSPRPUS.M,"Total Raw Steel Production, Monthly",Short-Term Energy Outlook
millions (seasonally-adjusted annual rate),STEO.HSTCXUS.A,"Housing Starts, Annual",Short-Term Energy Outlook
million tons,AEO.2015.HIGHMACRO.EMI_CRB_ELEP_NA_NA_NA_WECCCA_MILLTON.A,"Electricity : Emissions : Total Carbon, Western Electricity Coordinating Council / California, High growth, AEO2015",Annual Energy Outlook 2015
mill short tons,AEO.2014.FROZTECH.SUP_EXPT_EURO_NA_CL_NA_WRLD_MILLTON.A,"World Total : Total Coal Exports to Europe: Total, 2013 technology, AEO2014",Annual Energy Outlook 2014
mill tonnes CO2,AEO.2014.HIGHRESOURCE.ENV_CDE_TEN_NA_OTH_NA_NEENGL_MILLMETNCO2.A,"Carbon Dioxide : Total by Fuel: Other, New England, High resource, AEO2014",Annual Energy Outlook 2014
mill tons,AEO.2014.LCCST14.ENV_CARBE_ELEP_NA_NA_NA_SERCVC_MILLTON.A,"Electricity : Emissions: Total Carbon, SERC Reliability Corporation / Virginia-Carolina, Low coal cost, AEO2014",Annual Energy Outlook 2014
mill units,AEO.2014.LOWRESOURCE.EQNR_STK_RES_MSHR_EHP_NA_NA_MILL.A,"Residential Equipment : Equipment Stock: Main Space Heaters: Electric Heat Pumps, Low resource, AEO2014",Annual Energy Outlook 2014
MMb/d,AEO.2016.LOWRT.TRAD_NA_LFL_NA_GIM_NA_USA_MILLBRLPDY.A,"Liquid Fuels : Crude Oil : Gross Imports, Low resource, AEO2016",Annual Energy Outlook 2016
MMb/d oil eq,AEO.2016.LOWMACRO.CNSM_NA_TRN_NA_USE_NA_NA_MILLBPDYOEQ.A,"Transportation : Energy Use by Mode : Total, Low growth, AEO2016",Annual Energy Outlook 2016
