units,series_id,name,dataset_name
MMBtu,ELEC.PLANT.CONS_EG_BTU.539-WAT-HY.A,Electric fuel consumption MMBtu : Rocky River (CT) (539) : conventional hydroelectric : hydraulic turbine : annual,Electricity
MMBtu/b,AEO.2016.HIGHMACRO.CNF_NA_EXP_NA_PET_PPE_NA_MILLBTUPBRL.A,"Conversion Factors : Petroleum Products : Petroleum Product Exports, High growth, AEO2016",Annual Energy Outlook 2016
MMBtu/household,AEO.2019.REF2019.INY_HHD_RESD_DELE_NA_NA_USA_MILLBTUPHOSD.A,"Residential : Household Energy Intensity : Delivered Energy Use, Reference, AEO2019",Annual Energy Outlook 2019
MMBtu per barrels,ELEC.PLANT.AVG_HEAT.54816-DFO-ALL.M,MMBtu per unit : Riverwood 100 Building (54816) : distillate fuel oil : all primemovers : monthly,Electricity
MMBtu per mcf,ELEC.PLANT.AVG_HEAT.55611-BFG-ST.M,MMBtu per unit : Mingo Junction Energy Center (55611) : blast furnace gas : steam turbine : monthly,Electricity
MMBtu per tons,ELEC.PLANT.AVG_HEAT.10560-BLQ-ALL.A,MMBtu per unit : Jesup Plant (10560) : black liquour : all primemovers : annual,Electricity
MMBtu/ton,AEO.2018.LP_CPP.CNF_NA_NA_NA_PRD_NA_NA_MILLBTUPTON.A,"Conversion Factors : Coal : Production, Low price, CPP, AEO2018",Annual Energy Outlook 2018
MMmt,IEO.2019.LOWOILPRICE.EMI_CO2_FOSSIL_BRZ_MTONNE.A,"Carbon dioxide emissions : Non-OECD : Non-OECD Americas : Brazil, Low oil price, IEO2019",International Energy Outlook
MMmt CO2,AEO.2018.RFNUC_PLUS20.EMI_CO2_TRN_FGHT_NA_NA_NA_MILLMETNCO2.A,"Carbon Dioxide : Transportation : Freight Trucks, Reference, plus 20%, AEO2018",Annual Energy Outlook 2018
MMmtCO2,AEO.2016.LOWRT.EMI_CO2_NA_NA_NA_NA_SOATL_MILLMTCO2EQ.A,"Energy Use & Related Statistics : Carbon Dioxide Emissions, South Atlantic, Low resource, AEO2016",Annual Energy Outlook 2016
MMmt CO2/capita,AEO.2015.LOWPRICE.EMI_CO2_NA_NA_NA_NA_NA_MILLMTCO2PP.A,"Carbon Dioxide : Per-Capita Carbon Dioxide Emissions, United States, Low price, AEO2015",Annual Energy Outlook 2015
MMmtCO2/capita,AEO.2020.LOWOGS.EMI_CO2_NA_NA_NA_NA_WSC_MILLMTCO2PP.A,"Carbon Dioxide : Per-Capita Carbon Dioxide Emissions, West South Central, Low oil and gas supply, AEO2020",Annual Energy Outlook 2020
MMst,AEO.2016.LOWPRICE.SUP_EXPT_AMER_NA_CL_NA_CHN_MILLTON.A,"World Coal Exports to America : China, Low price, AEO2016",Annual Energy Outlook 2016
mmtCO2,AEO.2014.LCCST14.ENV_CDE_NA_NA_NA_NA_WNC_MILLMETNCO2EQ.A,"Energy Use & Related Statistics : Carbon Dioxide Emissions, West North Central, Low coal cost, AEO2014",Annual Energy Outlook 2014
mmtCO2/capita,AEO.2014.LOWPRICE.ENV_CDE_NA_NA_NA_NA_ENC_MILLMETNCO2PCAP.A,"Carbon Dioxide : Per-Capita Carbon Dioxide Emissions, East North Central, Low price, AEO2014",Annual Energy Outlook 2014
mpg,AEO.2016.REF_EXTEND.EFI_LDTY_LPKT_NA_FUC_GSL_NA_MLSPGLN.A,"New Light-Duty Vehicle : Fuel Cell Gasoline : Large Pickup, CPP extended, AEO2016",Annual Energy Outlook 2016
MPG,AEO.2014.RLNGHIGH20.EFI_NA_FGHT_LITEMED_MGS_NA_NA_MPG.A,"Freight : Existing Trucks: Fuel Efficiency: Light Medium : Motor Gasoline, High rail LNG, AEO2014",Annual Energy Outlook 2014
mpg diesel equiv,AEO.2018.LOWPRICE.EFI_NA_FGHT_LITEMEDS_ELE_NA_NA_MPGDSEQ.A,"Freight : Truck Stock : Fuel Efficiency : Light Medium : Electric, Low price, AEO2018",Annual Energy Outlook 2018
mpg gas equiv,AEO.2020.LORENCST.EFI_NA_FGHT_LITEMEDS_MGS_NA_NA_MPGGASEQ.A,"Freight : Truck Stock : Fuel Efficiency : Light Medium : Motor Gasoline, Low renewable cost, AEO2020",Annual Energy Outlook 2020
mpg gasoline equiv,AEO.2014.ESICA.EFI_NLDV_CNV_CAR_TDS_NA_NA_MPGGASEQ.A,"Light-Duty Fuel Economy : Conventional Cars: TDI Diesel, ESICA, AEO2014",Annual Energy Outlook 2014
MW,AEO.2018.HIGHPRICE.CAP_NA_COMM_CHP_FCL_NA_NA_MW.A,"Residential : Combined Heat and Power : Generating Capacity : Fuel Cells, High price, AEO2018",Annual Energy Outlook 2018
nom $/b,AEO.2019.AEO2018NO.PRCE_NA_INTA_NA_LFL_WTI_NA_NDLRPBRL.A,"International Liquids : Crude Oil Prices : West Texas Intermediate, AEO2018, no CPP, AEO2019",Annual Energy Outlook 2019
nom $/bbl,AEO.2014.LOWNUC14.PRCE_NA_NA_NA_CO_WTI_USA_NDLRPBRL.A,"Nominal Petroleum Prices : Crude Oil : West Texas Intermediate Spot, Nuclear retirements, AEO2014",Annual Energy Outlook 2014
nom $/gal,AEO.2017.HIGHRT.PRCE_NA_COMM_NA_RFO_NA_USA_NDLRPGLN.A,"Nominal Petroleum Prices : Commercial : Residual Fuel Oil, High resource, AEO2017",Annual Energy Outlook 2017
nom $/gallon,AEO.2014.FROZTECH.PRCE_NA_NA_NA_DFO_NA_USA_NDLRPGLN.A,"Nominal Petroleum Prices : Refined Petroleum Product Prices: Distillate Fuel Oil, 2013 technology, AEO2014",Annual Energy Outlook 2014
nom $/Mcf,AEO.2017.LOWRT.PRCE_DELV_COMM_NA_NG_NA_USA_NDLRPMCF.A,"Natural Gas : Delivered Prices : Commercial, Low resource, AEO2017",Annual Energy Outlook 2017
nom $/mill Btu,AEO.2014.FULL2013FULL.PRCE_NOM_IDAL_NA_PROP_NA_SOATL_NDLRPMBTU.A,"Energy Prices : Nominal: Industrial: Propane, South Atlantic, AEO2013 Reference, AEO2014",Annual Energy Outlook 2014
nom $/mmBtu,AEO.2014.HIGHRESOURCE.PRCE_NOMP_TEN_NA_HHP_NA_USA_NDLRPMBTU.A,"Total Energy : Nominal Prices: Gas Price at Henry Hub, High resource, AEO2014",Annual Energy Outlook 2014
nom $/MMBtu,AEO.2018.LP_CPP.PRCE_NOM_COMM_NA_ELC_NA_PCF_NDLRPMBTU.A,"Energy Prices : Nominal : Commercial : Electricity, Pacific, Low price, CPP, AEO2018",Annual Energy Outlook 2018
nom $/short ton,AEO.2014.FLAT.PRCE_NA_ELEP_NA_CL_NA_NA_NDLRPTON.A,"Coal Supply : Delivered Prices: Electric Power, Low electricity demand, AEO2014",Annual Energy Outlook 2014
nom $/st,AEO.2020.LOWPRICE.PRCE_NA_EXP_NA_CL_NA_NA_NDLRPTON.A,"Coal Supply : Delivered Prices : Exports, Low price, AEO2020",Annual Energy Outlook 2020
nom $/thous cu ft,AEO.2014.HIGHMACRO.PRCE_DELV_TRN_NA_NG_NA_USA_NDLRPMCF.A,"Natural Gas : Delivered Prices: Transportation, High growth, AEO2014",Annual Energy Outlook 2014
nom $/ton,AEO.2018.REF_CPP.PRCE_NOMP_TEN_NA_CAM_NA_USA_NDLRPTON.A,"Total Energy : Nominal Prices : Coal at Minemouth, CPP, AEO2018",Annual Energy Outlook 2018
nom cents/kWh,AEO.2018.SUNSET.PRCE_NA_TRN_NA_ELC_NA_SERCGW_NCNTPKWH.A,"Electricity : End-Use Prices : Transportation, SERC Reliability Corporation / Gateway, Early PTC/ITC sunset, AEO2018",Annual Energy Outlook 2018
nom C/kwh,AEO.2014.HIGHTECH.PRCE_NA_RES_NA_ELC_NA_SERCCNT_NCNTPKWH.A,"Electricity : End-Use Prices: Residential, SERC Reliability Corporation / Central, High technology, AEO2014",Annual Energy Outlook 2014
nom C/Kwh,AEO.2014.CO2FEE10.PRCE_NOMP_TEN_NA_ELC_NA_USA_NCNTPKWH.A,"Total Energy : Nominal Prices: Electricity, GHG10, AEO2014",Annual Energy Outlook 2014
"%, nominal",AEO.2014.CO2FEE10.ECI_TNR10_NA_NA_NA_NA_NA_PCNTN.A,"Macroeconomic Indicators : Interest Rates : 10-Year Treasury Note, GHG10, AEO2014",Annual Energy Outlook 2014
Nominal Dollars,TOTAL.TETCHUS.A,"Energy Expenditures per Capita, Annual",Total Energy
Nominal Dollars per Thousand Cubic Feet,NG.NGA_EPG0_PML_RNGM-NEG_DMCF.A,"Price of Northeast Gateway Natural Gas LNG Imports from Egypt, Annual",Natural Gas
Number,TOTAL.ZWHDPC4.A,"Heating Degree-Days, West North Central, Annual",Total Energy
number of customers,ELEC.CUSTOMERS.IL-TRA.A,Number of customer accounts : Illinois : transportation : annual,Electricity
Number of Days,PET.W_EPLLPZ_VSD_NUS_DAYS.W,"U.S. Days of Supply of Propane/Propylene, Weekly",Petroleum
Number of Elements,NG.NA1392_NUS_8.A,"U.S. Natural Gas Number of Underground Storage Acquifers Capacity, Annual",Natural Gas
number of employees,COAL.MINE.AVERAGE_EMPLOYEES.4609545-BIT-SUR.A,Coal mine average employees : Cam Highwall Miner (4609545) : bituminous : surface : annual,Coal
Number of Rigs,TOTAL.OGNRPUS.M,"Crude Oil and Natural Gas Rotary Rigs in Operation, Total, Monthly",Total Energy
Number of Wells,TOTAL.OGEWPUS.M,"Wells Drilled, Exploratory, Total, Monthly",Total Energy
Operating Factor,STEO.ORUTCUS.Q,"Refinery Distillation Utilization Factor , Quarterly",Short-Term Energy Outlook
people in thousands,INTL.4702-33-FLK-THP.A,"Population, Falkland Islands, Annual",International Energy Data
percent,COAL.SHIPMENT_SULFUR.1512682-2727-TOT.A,Coal shipment sulfur content : Crockett (1512682) to Marshall (NC)(2727) : All : annual,Coal
Percent,NG.NA1504_STN_4.M,"Tennessee Natural Gas % of Total Residential - Sales, Monthly",Natural Gas
percent change from prior year,STEO.QHALLC_US_PCT.M,"U.S. Households, Monthly",
Percent change from prior year,STEO.ZOMNIUS_PCT.A,"Manufacturing Production Index, Annual",
"percent, nominal",AEO.2016.LOWPRICE.ECI_AAUTR_NA_NA_NA_NA_NA_PCNTN.A,"Macroeconomic Indicators : Interest Rates : AA Utility Bond Rate, Low price, AEO2016",Annual Energy Outlook 2016
pounds,AEO.2014.REF2014.ATT_SWGT_CNV_TRK_NA_NA_NA_LBS.A,"New Vehicle Attributes : Average Weight : Stock : Conventional Light Trucks, Reference, AEO2014",Annual Energy Outlook 2014
quad Btu,AEO.2014.FROZTECH.CNSM_ENU_RES_NA_TOT_NA_MTN_QBTU.A,"Energy Use : Residential: Total, Mountain, 2013 technology, AEO2014",Annual Energy Outlook 2014
quadrillion Btu,INTL.63-2-KAZ-QBTU.A,"Jet fuel consumption, Kazakhstan, Annual",International Energy Data
Quadrillion Btu,TOTAL.PFNFBUS.M,"Petrochemical Feedstocks Non-Combustion Consumption, Monthly",Total Energy
quads,AEO.2016.LOWPRICE.CNSM_NA_RES_OTHU_DFO_NA_USA_QBTU.A,"Residential : Distillate Fuel Oil : Other Uses, Low price, AEO2016",Annual Energy Outlook 2016
ratio,AEO.2014.HIGHVMT.EFI_DGRD_CAR_NA_NA_NA_NA_RATIO.A,"New Vehicle Attributes : Degradation Factors : Cars, High VMT, AEO2014",Annual Energy Outlook 2014
Real (1982-1984) Cents per Kilowatthour,TOTAL.ESRCOUS.M,"Average Cost of Residential Electricity, Monthly",Total Energy
Real (1982-1984) Dollars per Gallon,TOTAL.D2RCOUS.M,"Average Cost of Residential Heating Oil, Monthly",Total Energy
Real (1982-1984) Dollars per Million Btu,TOTAL.NGRCAUS.M,"Average Cost of Residential Natural Gas, Monthly",Total Energy
Real (1982-1984) Dollars per Thousand Cubic Feet,TOTAL.NGRCOUS.M,"Average Cost of Residential Natural Gas, Monthly",Total Energy
real dollars per barrel,STEO.RAIMUUS_RP.A,"Imported  Crude Oil Real Price, Annual",
real dollars per gallon,STEO.MGRARUS_RP_$.M,"Gasoline Regular Grade Retail Real Price Incl Taxes, U.S. Average,, Monthly",
"revenue ton-miles/day, thousands",STEO.RMZZPUS.M,"Aircraft Utilization, Monthly",Short-Term Energy Outlook
seat miles/gallon,AEO.2014.LCR_2014.EFI_NA_TRN_NA_AIRC_NA_NA_SEATMPG.A,"Transportation : Energy Efficiency Indicators: Aircraft, Low cost renewable, AEO2014",Annual Energy Outlook 2014
seat-miles per gallon,IEO.2017.REFERENCE.TR_AIREFF_SEATMPG_NRW_STK_SEATMPG.A,"Aircraft efficiency : Narrow body aircraft : Stock, Reference, IEO2017",International Energy Outlook
seat mpg,AEO.2016.LOWPRICE.EFI_STK_AIRT_NBTR_NA_NA_USA_SEATMPG.A,"Air Travel : Aircraft Stock Efficiency : Narrow Body Aircraft, Low price, AEO2016",Annual Energy Outlook 2016
SEER,AEO.2016.REF_ALLOW_GEN.EFI_STK_RES_SPC_CAC_NA_NA_SEER.A,"Residential Equipment : Stock Average Efficiency : Space Cooling : Central Air Conditioners, CPP generators, AEO2016",Annual Energy Outlook 2016
short tons,COAL.SHIPMENT_QTY.1506733-1740-BIT.A,Coal shipment quantity : Coal Essence Prep Plant (1506733) to River Rouge(1740) : Bituminous : annual,Coal
short tons/labor hour,COAL.PRODUCTIVITY.OH-SUR.A,Aggregate coal mine productivity : Ohio : surface : annual,Coal
Short Tons per Day,PET.8_NA_8PS_R20_S.A,"Midwest (PADD 2) Refinery Sulfur Production Capacity as of January 1, Annual",Petroleum
sq ft,AEO.2015.HIGHPRICE.KEI_HHD_RES_NA_NA_NA_USA_SQFT.A,"Residential : Key Indicators : Average House Square Footage, High price, AEO2015",Annual Energy Outlook 2015
st,AEO.2018.REF2018.EMI_MER_ELEP_NA_NA_NA_NPCCNE_TON.A,"Electricity : Emissions : Mercury, Northeast Power Coordinating Council / Northeast, Reference, AEO2018",Annual Energy Outlook 2018
TBtu,AEO.2015.AEO2014FULL.CNSM_NA_IDAL_EEI_NG_NA_NA_TRLBTU.A,"Metal Based Durables : Electrical Equipment : Use : Natural Gas, AEO2014 Reference, AEO2015",Annual Energy Outlook 2015
Tcf,AEO.2016.REF2016.PRD_NA_OFS_NA_NG_ST_ATLN_TRLCF.A,"Natural Gas : Dry Production : Lower 48 Offshore : Atlantic : State, Reference, AEO2016",Annual Energy Outlook 2016
terajoules,INTL.33-12-WP21-TJ.A,"Hydroelectricity net generation, IEO OECD - Europe, Annual",International Energy Data
Thouand Barrels per Day,PET.M_EPPG_YPB_R2A_MBBLD.A,"Refining District Indiana-Illinois-Kentucky Blender Net Production Processing Gain, Annual",Petroleum
thous 2012 $,AEO.2014.LOWVMT.PRCE_NLDV_2SEA_NA_GSLPLG40_NA_NA_THY12DLR.A,"New Light-Duty Vehicle Prices : Plug-in 40 Gasoline Hybrid: Two Seater Cars, Low VMT, AEO2014",Annual Energy Outlook 2014
Thousand,SEDS.TPOPP.MT.A,"Resident population including Armed Forces, Montana",State Energy Data System (SEDS)
thousand 2013 $,AEO.2015.REF2015.PRCE_LDTY_SUT_NA_FUC_GSL_NA_THY13DLR.A,"New Light-Duty Vehicle Prices : Fuel Cell Gasoline : Small Utility, Reference, AEO2015",Annual Energy Outlook 2015
thousand 2015 $,AEO.2016.REF_ALLOW_GEN.PRCE_LDTY_SCOM_NA_GSLEL_NA_NA_THY13DLR.A,"New Light-Duty Vehicle Prices : Gasoline-Electric Hybrid : Subcompact Cars, CPP generators, AEO2016",Annual Energy Outlook 2016
thousand 2016 $,AEO.2017.HIGHPRICE.PRCE_LDTY_LPKT_NA_ETHF_NA_NA_THY13DLR.A,"New Light-Duty Vehicle Prices : Ethanol Flex: Large Pickup, High price, AEO2017",Annual Energy Outlook 2017
thousand 2017 $,AEO.2018.AUTO_EV.PRCE_LDTY_COMC_NA_DSLELE_NA_NA_THY13DLR.A,"New Light-Duty Vehicle Prices : Diesel-Electric Hybrid : Compact Cars, Autonomous battery electric vehicle, AEO2018",Annual Energy Outlook 2018
thousand 2018 $,AEO.2019.LOWMACRO.PRCE_LDTY_CMPT_CAR_NG_BIFUEL_NA_THY13DLR.A,"New Light-Duty Vehicle Prices : Natural Gas Bi-Fuel : Compact Car, Low growth, AEO2019",Annual Energy Outlook 2019
thousand 2019 $,AEO.2020.AEO2019REF.PRCE_LDTY_LUTT_LTK_DSLELE_NA_NA_THY13DLR.A,"New Light-Duty Vehicle Prices : Diesel-Electric Hybrid : Large Utility, AEO2019, AEO2020",Annual Energy Outlook 2020
thousand barrels,PET_IMPORTS.CTY_AG-RS_WA-HSW.A,"Imports of heavy sweet crude oil from Algeria to refineries in Washington, Annual",Crude Oil Imports
Thousand barrels,SEDS.AVTXP.WY.A,"Aviation gasoline total end-use consumption, Wyoming",State Energy Data System (SEDS)
Thousand Barrels,PET.M_EP00_EEX_R30-NSC_1.M,"Gulf Coast (PADD 3) Exports to Saint Kitts and Nevis of Crude Oil and Petroleum Products, Monthly",
Thousand Barrels per Calendar Day,PET.W_NA_YRL_R40_MBBLD.4,"Rocky Mountains (PADD 4) Operable Crude Oil Distillation Capacity, 4 Week Avg",Petroleum
thousand barrels per day,INTL.57-1-NAM-TBPD.Q,"Crude oil including lease condensate production, Namibia, Quarterly",International Energy Data
Thousand Barrels  per Day,PET.M_EPOORDO_IM0_R50-NSN_MBBLD.A,"West Coast (PADD 5) Imports from Singapore of Other Renewable Diesel Fuel, Annual",Petroleum
Thousand Barrels per Day,PET.M_EPPL_EEX_R20-NBA_2.M,"Midwest (PADD 2) Exports to Bahrain of Lubricants, Monthly",
thousand Btu/$ GDP,AEO.2016.CPPREPBASIC.INY_NA_NA_NA_DELE_NA_NA_THBTUPDLRGDP.A,"Macroeconomic Indicators : Energy Intensity : Delivered Energy, CPP Report, AEO2016",Annual Energy Outlook 2016
thousand Btu/2009 $,AEO.2016.LOWMACRO.INY_NA_IDAL_AAP_DFO_NA_NA_THBTUPY05DLR.A,"Aluminum Industry : Energy Use per Unit of Output : Distillate Fuel Oil, Low growth, AEO2016",Annual Energy Outlook 2016
thousand Btu/2012 $,AEO.2020.HIRENCST.INY_NA_IDAL_NA_NFS_NA_USA_THBTUPY05DLR.A,"Industrial : Energy Use per dollar of Shipment : Natural Gas Feedstock, High renewable cost, AEO2020",Annual Energy Outlook 2020
thousand Btu/b,AEO.2018.REF2018.INY_NA_IDAL_REF_PCK_NA_NA_THBTUPBRL.A,"Refining Industry : Refinery Only Energy : Use per Unit of Refinery Input : Petroleum Coke, Reference, AEO2018",Annual Energy Outlook 2018
thousand Btu/cu ft,AEO.2017.LOWMACRO.CNF_NA_ELEP_NA_NG_NA_NA_BTUPCUFT.A,"Conversion Factors : Natural Gas : Use : Electric Power Sector, Low growth, AEO2017",Annual Energy Outlook 2017
(Thousand Btu per 2010$ of GDP),IEO.2019.REFERENCE.ENERGYINT_NNN_KBTUPERGDPPPPB2010DOL.A,"Energy intensity : Non-OECD : Total Non-OECD, Reference, IEO2019",International Energy Outlook
(Thousand Btu per 2010 dollar of GDP),IEO.2017.REFERENCE.ENERGYINT_OOO_KBTUPERGDPPPPB2010DOL.A,"Energy intensity : Total OECD, Reference, IEO2017",International Energy Outlook
Thousand Btu per chained (2012) dollar,SEDS.TETGR.WI.A,"Total energy consumed per dollar of real gross domestic product, Wisconsin",State Energy Data System (SEDS)
Thousand Btu per Chained (2012) Dollar,TOTAL.TETGRUS.A,"Total Primary Energy Consumption per Real Dollar of GDP, Annual",Total Energy
Thousand Btu per cubic feet,SEDS.NGMPK.WA.A,"Conversion factor for natural gas marketed production, Washington",State Energy Data System (SEDS)
Thousand Btu per cubic foot,SEDS.NGTXK.NV.A,"Factor for converting natural gas consumed by all sectors other than electric power from physical units to Btu, Nevada",State Energy Data System (SEDS)
Thousand Btu per kilowatthour,SEDS.NUETK.US.A,"Factor for converting electricity generated from nuclear power from physical units to Btu, United States only, United States",State Energy Data System (SEDS)
thousand Btu per USD at purchasing power parities,INTL.47-34-KAZ-TBTUUSDPP.A,"Energy consumption per GDP, Kazakhstan, Annual",International Energy Data
thousand Btu/sq ft,AEO.2018.HRNUC_PLUS20.INY_HHD_RESD_DELE_NA_NA_USA_THBTUPSQFT.A,"Residential : Energy Intensity per Square Foot : Delivered Energy Use, High resource, plus 20%, AEO2018",Annual Energy Outlook 2018
Thousand cubic feet,SEDS.NGTPP.CT.A,"Natural gas total consumption per capita, Connecticut",State Energy Data System (SEDS)
Thousand Cubic Feet,NG.NA1561_SID_10.A,"Idaho Natural Gas Average Annual Consumption per Industrial Consumer, Annual",Natural Gas
thousand customers,STEO.ELCUS_PAC.Q,"Number of Residential Customers, Pacific Contiguous, Quarterly",Short-Term Energy Outlook
Thousand Dollars,NG.NA_EPG0_FWC_SNV_COST.A,"Nevada Imputed Wellhead Value of Marketed Production, Annual",Natural Gas
Thousand Dollars per Well,NG.E_ERTW0_XWWN_NUS_MDW.A,"U.S. Nominal Cost per Crude Oil, Natural Gas, and Dry Well Drilled, Annual",Natural Gas
Thousand Feet,PET.E_ERTWO_XWFD_NUS_MF.A,"U.S. Footage Drilled for Crude Oil Developmental Wells, Annual",Petroleum
Thousand Gallons,PET.KDRVAISAK1.A,"Alaska Kerosene Adj Sales/Deliveries to Industrial Consumers, Annual",Petroleum
Thousand Gallons per Day,PET.A163713451.M,"South Carolina Conventional Gasoline Wholesale/Resale Volume by Refiners, Monthly",Petroleum
thousand mcf,ELEC.RECEIPTS.NG-FL-94.M,Receipts of fossil fuels by electricity plants : natural gas : Florida : independent power producers (total) : monthly,Electricity
thousand Mcf,ELEC.CONS_TOT.NG-SC-1.Q,Total consumption : natural gas : South Carolina : electric utility : quarterly,Electricity
thousand megawatthours,ELEC.GEN.COW-WY-6.M,Net generation : coal : Wyoming : industrial non-cogen : monthly,Electricity
thousand miles,AEO.2018.LM_CPP.DMG_NA_TRN_VMT_NA_NA_NA_THMLS.A,"Light-Duty Vehicle Miles Traveled : VMT Equation Components : VMT/Driving Population, Low growth, CPP, AEO2018",Annual Energy Outlook 2018
thousands,AEO.2014.CO2FEE25.ECI_LDVS_CNV_CAR_GSL_NA_NEENGL_TH.A,"Light-Duty Vehicle Sales : Conventional Cars: Gasoline, New England, GHG25, AEO2014",Annual Energy Outlook 2014
thousand short tons,INTL.12-2-WP24-TST.A,"Bituminous consumption, Other Non-OECD - Europe and Eurasia, Annual",International Energy Data
Thousand short tons,SEDS.CLICP.GA.A,"Coal consumed by the industrial sector, Georgia",State Energy Data System (SEDS)
Thousand Short Tons,TOTAL.CLI3PUS.M,"Coal Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector, Monthly",Total Energy
thousand tons,ELEC.CONS_EG.PC-ESC-2.M,Consumption for electricity generation : petroleum coke : East South Central (total) : electric utility non-cogen : monthly,Electricity
thous Btu/$ GDP,AEO.2014.LOWMACRO.INY_NA_NA_NA_TEN_NA_NA_THBTUPDLRGDP.A,"Macroeconomic Indicators : Energy Intensity: Total Energy, Low growth, AEO2014",Annual Energy Outlook 2014
thous Btu/2005 $,AEO.2014.LCCST14.INY_NA_IDAL_CEM_PCK_NA_NA_THBTUPY05DLR.A,"Cement Industry : Energy Use per Unit of Output: Petroleum Coke, Low coal cost, AEO2014",Annual Energy Outlook 2014
thous Btu/bbl,AEO.2014.NOGHGCONCERN.INY_NA_IDAL_PRI_LPG_NA_NA_THBTUPBRL.A,"Refining Industry : Refinery Only Energy: Use per Unit of Refinery Input: Liquefied Petroleum Gases, No GHG concern, AEO2014",Annual Energy Outlook 2014
thous Btu/cu ft,AEO.2014.ALTLOWNUC14.CNF_NA_IMP_NA_NG_NA_NA_BTUPCUFT.A,"Conversion Factors : Natural Gas: Imports, Low nuclear, AEO2014",Annual Energy Outlook 2014
thous Btu/sq ft,AEO.2014.NOGHGCONCERN.INY_HHD_RES_DELE_NA_NA_USA_THBTUPSQFT.A,"Residential : Energy Intensity per Square Foot: Delivered Energy Use, No GHG concern, AEO2014",Annual Energy Outlook 2014
thous miles,AEO.2014.HCCST14.DMG_LDVMD_TRN_NA_NA_NA_NA_THMLS.A,"Light-Duty Vehicle Miles Traveled : VMT Equation Components : VMT/Driving Population, High coal cost, AEO2014",Annual Energy Outlook 2014
ton miles/MBtu,AEO.2015.HIGHRESOURCE.EFI_NA_TRN_RAIL_NA_NA_NA_TONMLPTHBTU.A,"Freight : Railroads : Fuel Efficiency, High resource, AEO2015",Annual Energy Outlook 2015
ton miles/thousand B,AEO.2019.AEO2018NO.EFI_NA_TRN_RAIL_NA_NA_NA_TONMLPTHBTU.A,"Freight : Railroads : Fuel Efficiency, AEO2018, no CPP, AEO2019",Annual Energy Outlook 2019
ton miles/thous Btu,AEO.2014.LCR_2014.EFI_NA_TRN_RAIL_NA_NA_NA_TONMLPTHBTU.A,"Freight : Railroads: Fuel Efficiency, Low cost renewable, AEO2014",Annual Energy Outlook 2014
tons,AEO.2014.CO2FEE10HR.ENV_HGE_ELEP_NA_NA_NA_SERCDLT_TON.A,"Electricity : Emissions: Mercury, SERC Reliability Corporation / Delta, GHG10 with low gas price, AEO2014",Annual Energy Outlook 2014
tons per hour,STEO.CLMRHUS.A,"Coal Miner Productivity, Annual",Short-Term Energy Outlook
total degree days,STEO.ZWHD_WSC.Q,"Heating Degree Days W. S. Central, Quarterly",Short-Term Energy Outlook
tril Btu,AEO.2014.LOWVMT.CNSM_NA_IDAL_WDP_REB_NA_NA_TRLBTU.A,"Other Manufacturing : Wood Products : Use : Renewables, Low VMT, AEO2014",Annual Energy Outlook 2014
tril cu ft,AEO.2014.HCCST14.CNSM_NA_RES_NA_NG_NA_SATL_TRLCF.A,"Natural Gas Use : Residential: South Atlantic, High coal cost, AEO2014",Annual Energy Outlook 2014
trillion Btu,AEO.2018.AEO2017NO.CNSM_NA_IDAL_ISM_NCI_NA_NA_TRLBTU.A,"Iron and Steel : Energy Use : Net Coke Imports, AEO2017, no CPP, AEO2018",Annual Energy Outlook 2018
Trillion Btu,TOTAL.SOT8BUS.A,"Distributed Solar Energy Consumption for Heat:  Total, Annual",Total Energy
trillion cubic feet,INTL.3-6-TCA-TCF.A,"Natural gas reserves, Turks and Caicos Islands, Annual",International Energy Data
units,AEO.2018.HIGHMACRO.ECI_AIRS_AIRT_REGJ_NA_NA_AFR_UNIT.A,"Air Travel : Aircraft Sales : Africa : Regional Jets, High growth, AEO2018",Annual Energy Outlook 2018
,AEO.2020.LOWMACRO.EFI_NA_FGHT_RADS_NA_NA_NA_NA.A,"Freight : Truck Stock : Fuel Efficiency : Heavy : Average, Low growth, AEO2020",Annual Energy Outlook 2020
